agency_id,route_id,route_short_name,route_long_name,route_type
58,105,,Essen - Charleroi South,2
58,107,,Ottignies - Tamines,2
58,108,,Ottignies - Charleroi South,2
58,109,,Waver - Tamines,2
58,110,,Ottignies - Namen,2
58,1101,,Tournai - Liers,2
58,1102,,Tournai - Mons,2
58,1103,,Tournai - Mouscron,2
58,1104,,Mouscron - Tournai,2
58,1105,,Tournai - Quievrain,2
58,1106,,Geraardsbergen - Brussels South,2
58,1107,,Geraardsbergen - Antwerp Central,2
58,1108,,Geraardsbergen - Edingen,2
58,1109,,Ath - Saint Ghislain,2
58,1110,,Ath - Mons,2
58,1111,,Jurbise - Ath,2
58,1112,,Mons - Ath,2
58,1113,,Ath - Jurbise,2
58,1114,,Ath - Geraardsbergen,2
58,1115,,Lessen - Edingen,2
58,1117,,Edingen - Tournai,2
58,1118,,Jemelle - Brussels South,2
58,1119,,Arlon - Brussels South,2
58,112,,Waver - Charleroi South,2
58,1121,,Gouvy - LUXEMBOURG (Luxembourg),2
58,1123,,Namen - Brussels South,2
58,1124,,Dinant - Namen,2
58,1125,,Libramont - Jemelle,2
58,1126,,Arlon - Virton,2
58,1128,,Namen - Dinant,2
58,1129,,Tamines - Gembloux,2
58,113,,Charleroi South - Ottignies,2
58,1130,,Gembloux - Jemeppe Sur Sambre,2
58,1131,,Jemeppe Sur Sambre - Gembloux,2
58,1132,,Gembloux - Tamines,2
58,1133,,Charleroi South - Antwerp Central,2
58,1134,,Chatelet - Schaarbeek,2
58,1136,,Jemeppe Sur Sambre - Schaarbeek,2
58,114,,Namen - Ottignies,2
58,1141,,Binche - Schaarbeek,2
58,1143,,La Louviere South - Luttre,2
58,1144,,Charleroi South - Brussels South,2
58,1145,,Walcourt - Charleroi South,2
58,1146,,Charleroi South - Walcourt,2
58,1147,,Manage - Braine Le Comte,2
58,1148,,Manage - Mons,2
58,1149,,Luttre - Mons,2
58,115,,Tamines - Waver,2
58,1150,,Charleroi South - La Louviere Center,2
58,1151,,Nijvel - Charleroi South,2
58,1152,,Charleroi South - Nijvel,2
58,1154,,Tamines - Namen,2
58,1155,,Quievrain - Schaarbeek,2
58,1156,,Quevy - Schaarbeek,2
58,1157,,Quevy - Mons,2
58,1158,,Mons - Mouscron,2
58,1159,,Quievrain - Mons,2
58,116,,Tamines - Ottignies,2
58,1160,,Quievrain - Braine Le Comte,2
58,1162,,Mons - Tournai,2
58,1163,,Mons - Charleroi South,2
58,1164,,Mons - La Louviere Center,2
58,1165,,Braine Le Comte - Quievrain,2
58,1166,,Oudenaarde - Brussels North,2
58,1168,,Oudenaarde - Schaarbeek,2
58,1169,,Zottegem - Schaarbeek,2
58,1176,,Geraardsbergen - Ghent Sint Pieters,2
58,1177,,Geraardsbergen - Bruges,2
58,1178,,Denderleeuw - Geraardsbergen,2
58,1179,,Geraardsbergen - Denderleeuw,2
58,118,,Charleroi South - Waver,2
58,1182,,Zottegem - Courtrai,2
58,1183,,Geraardsbergen - Ronse,2
58,1184,,Oudenaarde - Geraardsbergen,2
58,1185,,Ronse - Geraardsbergen,2
58,1186,,Ronse - Ghent Sint Pieters,2
58,1187,,Ghent Sint Pieters - Ronse,2
58,1188,,Oudenaarde - Denderleeuw,2
58,1189,,Zottegem - Brussels South,2
58,119,,Tamines - Charleroi South,2
58,1190,,Zottegem - Denderleeuw,2
58,1191,,Denderleeuw - Zottegem,2
58,1192,,Denderleeuw - Courtrai,2
58,1193,,Aalst - Burst,2
58,1194,,Burst - Aalst,2
58,1195,,Aalst - Zottegem,2
58,1198,,Courtrai - Bruges,2
58,1199,,Bruges - Zottegem,2
58,120,,Brussels South - LUXEMBOURG (Luxembourg),2
58,1200,,Bruges - Courtrai,2
58,1201,,De Panne - Denderleeuw,2
58,1202,,De Panne - Ghent Sint Pieters,2
58,1203,,Roulers - Dendermonde,2
58,1204,,Etterbeek - Poperinge,2
58,1205,,Brussels Airport - Ostend,2
58,1206,,Schaarbeek - Bruges,2
58,1207,,Schaarbeek - Courtrai,2
58,1208,,Leuven - Ostend,2
58,1209,,Schaarbeek - Ostend,2
58,121,,Arlon - LUXEMBOURG (Luxembourg),2
58,1210,,Brussels Luxembourg - Courtrai,2
58,1212,,Schaarbeek - Saint Nicolas,2
58,1213,,Schaarbeek - Ghent Sint Pieters,2
58,1216,,Etterbeek - Denderleeuw,2
58,1217,,Schaarbeek - Denderleeuw,2
58,1218,,Bruges - Aalst,2
58,1219,,Zeebrugge Dorp - Aalst,2
58,1221,,Bruges - Blankenberge,2
58,1222,,Bruges - Knokke,2
58,1223,,Brussels South - De Panne,2
58,1224,,Brussels South - Denderleeuw,2
58,1225,,Brussels South - Aalst,2
58,1228,,Saint Nicolas - Leuven,2
58,123,,Charleroi South - Couvin,2
58,1230,,Ghent Sint Pieters - Dendermonde,2
58,1231,,Charleroi South - Brussels North,2
58,1232,,ANVERS-HAVEN (Belgium) - Aarschot,2
58,1233,,Neerpelt - Heverlee,2
58,1234,,Leuven - Neerpelt,2
58,1235,,Antwerp Central - Saint Nicolas,2
58,1236,,Antwerp Central - Essen,2
58,1237,,Brussels South - Leuven,2
58,1238,,Antwerp Central - Boom,2
58,1239,,Essen - Boom,2
58,1241,,Antwerp Noorderdokken - Aarschot,2
58,1243,,Brussels South - Genk,2
58,1244,,Brussels South - Tongeren,2
58,1245,,Brussels South - Hasselt,2
58,1247,,Genk - Landen,2
58,1248,,Brussels South - Landen,2
58,125,,Couvin - Charleroi South,2
58,1250,,Leuven - Sint Joris Weert,2
58,1251,,Saint Nicolas - Dendermonde,2
58,1252,,Malines - Leuven,2
58,1253,,Leuven - Ghent Sint Pieters,2
58,1254,,Leuven - Dendermonde,2
58,1255,,Brussels South - Welkenraedt,2
58,1257,,Brussels South - Hoei,2
