trip_id,stop_id,arrival_time,departure_time,stop_sequence
1098:0,32661,18:00:00,18:15:00,1
1098:0,32662,18:19:00,18:19:00,2
1098:0,32663,18:22:00,18:23:00,3
1098:0,32548,18:26:00,18:26:00,4
1098:0,32547,18:30:00,18:30:00,5
1098:0,32546,18:33:00,18:33:00,6
1098:0,32545,18:38:00,18:38:00,7
1098:0,32544,18:41:00,18:41:00,8
1098:0,32562,18:46:00,18:50:00,9
1098:0,32571,18:57:00,18:57:00,10
1098:0,32570,19:00:00,19:00:00,11
1098:0,32569,19:05:00,19:05:00,12
1098:0,32568,19:09:00,19:09:00,13
1098:0,32567,19:11:00,19:12:00,14
1098:0,32521,19:18:00,19:18:00,15
1098:0,32520,19:21:00,19:23:00,16
1098:0,32516,19:25:00,19:39:00,17
1098:1,32661,19:00:00,19:15:00,1
1098:1,32662,19:19:00,19:19:00,2
1098:1,32663,19:22:00,19:23:00,3
1098:1,32548,19:26:00,19:26:00,4
1098:1,32547,19:30:00,19:30:00,5
1098:1,32546,19:33:00,19:33:00,6
1098:1,32545,19:38:00,19:38:00,7
1098:1,32544,19:41:00,19:41:00,8
1098:1,32562,19:46:00,19:50:00,9
1098:1,32571,19:57:00,19:57:00,10
1098:1,32570,20:00:00,20:00:00,11
1098:1,32569,20:05:00,20:05:00,12
1098:1,32568,20:09:00,20:09:00,13
1098:1,32567,20:11:00,20:12:00,14
1098:1,32521,20:18:00,20:18:00,15
1098:1,32520,20:21:00,20:23:00,16
1098:1,32516,20:25:00,20:39:00,17
1099:0,32661,20:00:00,20:15:00,1
1099:0,32662,20:19:00,20:19:00,2
1099:0,32663,20:22:00,20:23:00,3
1099:0,32548,20:26:00,20:26:00,4
1099:0,32547,20:30:00,20:30:00,5
1099:0,32546,20:33:00,20:33:00,6
1099:0,32545,20:38:00,20:38:00,7
1099:0,32544,20:41:00,20:41:00,8
1099:0,32562,20:46:00,20:49:00,9
1099:0,32571,20:56:00,20:56:00,10
1099:0,32570,20:59:00,20:59:00,11
1099:0,32569,21:04:00,21:04:00,12
1099:0,32568,21:08:00,21:08:00,13
1099:0,32567,21:10:00,21:11:00,14
1099:0,32521,21:17:00,21:17:00,15
1099:0,32520,21:19:00,21:20:00,16
1099:0,32516,21:22:00,21:36:00,17
1100:0,32661,21:00:00,21:15:00,1
1100:0,32662,21:19:00,21:19:00,2
1100:0,32663,21:22:00,21:23:00,3
1100:0,32548,21:26:00,21:26:00,4
1100:0,32547,21:30:00,21:30:00,5
1100:0,32546,21:33:00,21:33:00,6
1100:0,32545,21:38:00,21:38:00,7
1100:0,32544,21:41:00,21:41:00,8
1100:0,32562,21:46:00,21:47:00,9
1100:0,32571,21:54:00,21:54:00,10
1100:0,32570,21:57:00,21:57:00,11
1100:0,32569,22:02:00,22:02:00,12
1100:0,32568,22:06:00,22:06:00,13
1100:0,32567,22:08:00,22:09:00,14
1100:0,32521,22:15:00,22:15:00,15
1100:0,32520,22:17:00,22:18:00,16
1100:0,32516,22:20:00,22:34:00,17
1101:0,32562,05:19:00,05:34:00,1
1101:0,32565,05:38:00,05:38:00,2
1101:0,32566,05:41:00,05:41:00,3
1101:0,32597,05:45:00,05:45:00,4
1101:0,32596,05:48:00,05:48:00,5
1101:0,32595,05:52:00,05:52:00,6
1101:0,32594,05:58:00,05:58:00,7
