stop_id,trip_id,arrival_time,departure_time,stop_sequence
32661,1098:0,18:00:00,18:15:00,1
32662,1098:0,18:19:00,18:19:00,2
32663,1098:0,18:22:00,18:23:00,3
32548,1098:0,18:26:00,18:26:00,4
32547,1098:0,18:30:00,18:30:00,5
32546,1098:0,18:33:00,18:33:00,6
32545,1098:0,18:38:00,18:38:00,7
32544,1098:0,18:41:00,18:41:00,8
32562,1098:0,18:46:00,18:50:00,9
32571,1098:0,18:57:00,18:57:00,10
32570,1098:0,19:00:00,19:00:00,11
32569,1098:0,19:05:00,19:05:00,12
32568,1098:0,19:09:00,19:09:00,13
32567,1098:0,19:11:00,19:12:00,14
32521,1098:0,19:18:00,19:18:00,15
32520,1098:0,19:21:00,19:23:00,16
32516,1098:0,19:25:00,19:39:00,17
32661,1098:1,19:00:00,19:15:00,1
32662,1098:1,19:19:00,19:19:00,2
32663,1098:1,19:22:00,19:23:00,3
32548,1098:1,19:26:00,19:26:00,4
32547,1098:1,19:30:00,19:30:00,5
32546,1098:1,19:33:00,19:33:00,6
32545,1098:1,19:38:00,19:38:00,7
32544,1098:1,19:41:00,19:41:00,8
32562,1098:1,19:46:00,19:50:00,9
32571,1098:1,19:57:00,19:57:00,10
32570,1098:1,20:00:00,20:00:00,11
32569,1098:1,20:05:00,20:05:00,12
32568,1098:1,20:09:00,20:09:00,13
32567,1098:1,20:11:00,20:12:00,14
32521,1098:1,20:18:00,20:18:00,15
32520,1098:1,20:21:00,20:23:00,16
32516,1098:1,20:25:00,20:39:00,17
32661,1099:0,20:00:00,20:15:00,1
32662,1099:0,20:19:00,20:19:00,2
32663,1099:0,20:22:00,20:23:00,3
32548,1099:0,20:26:00,20:26:00,4
32547,1099:0,20:30:00,20:30:00,5
32546,1099:0,20:33:00,20:33:00,6
32545,1099:0,20:38:00,20:38:00,7
32544,1099:0,20:41:00,20:41:00,8
32562,1099:0,20:46:00,20:49:00,9
32571,1099:0,20:56:00,20:56:00,10
32570,1099:0,20:59:00,20:59:00,11
32569,1099:0,21:04:00,21:04:00,12
32568,1099:0,21:08:00,21:08:00,13
32567,1099:0,21:10:00,21:11:00,14
32521,1099:0,21:17:00,21:17:00,15
32520,1099:0,21:19:00,21:20:00,16
32516,1099:0,21:22:00,21:36:00,17
32661,1100:0,21:00:00,21:15:00,1
32662,1100:0,21:19:00,21:19:00,2
32663,1100:0,21:22:00,21:23:00,3
32548,1100:0,21:26:00,21:26:00,4
32547,1100:0,21:30:00,21:30:00,5
32546,1100:0,21:33:00,21:33:00,6
32545,1100:0,21:38:00,21:38:00,7
32544,1100:0,21:41:00,21:41:00,8
32562,1100:0,21:46:00,21:47:00,9
32571,1100:0,21:54:00,21:54:00,10
32570,1100:0,21:57:00,21:57:00,11
32569,1100:0,22:02:00,22:02:00,12
32568,1100:0,22:06:00,22:06:00,13
32567,1100:0,22:08:00,22:09:00,14
32521,1100:0,22:15:00,22:15:00,15
32520,1100:0,22:17:00,22:18:00,16
32516,1100:0,22:20:00,22:34:00,17
32562,1101:0,05:19:00,05:34:00,1
32565,1101:0,05:38:00,05:38:00,2
32566,1101:0,05:41:00,05:41:00,3
32597,1101:0,05:45:00,05:45:00,4
32596,1101:0,05:48:00,05:48:00,5
32595,1101:0,05:52:00,05:52:00,6
32594,1101:0,05:58:00,05:58:00,7
32593,1101:0,06:02:00,06:02:00,8
32592,1101:0,06:05:00,06:05:00,9
32588,1101:0,06:10:00,06:24:00,10
32562,1102:0,06:46:00,07:01:00,1
32565,1102:0,07:05:00,07:05:00,2
32566,1102:0,07:08:00,07:08:00,3
32597,1102:0,07:13:00,07:13:00,4
32596,1102:0,07:16:00,07:16:00,5
32595,1102:0,07:20:00,07:20:00,6
32594,1102:0,07:25:00,07:31:00,7
32593,1102:0,07:35:00,07:35:00,8
32592,1102:0,07:38:00,07:38:00,9
32588,1102:0,07:43:00,07:44:00,10
32589,1102:0,07:47:00,07:47:00,11
32590,1102:0,07:49:00,07:49:00,12
32591,1102:0,07:54:00,07:54:00,13
32583,1102:0,08:01:00,08:01:00,14
32582,1102:0,08:04:00,08:05:00,15
32579,1102:0,08:09:00,08:10:00,16
32580,1102:0,08:14:00,08:14:00,17
32581,1102:0,08:19:00,08:19:00,18
32601,1102:0,08:28:00,08:28:00,19
32598,1102:0,08:37:00,08:51:00,20
32562,1103:0,06:04:00,06:19:00,1
32565,1103:0,06:23:00,06:23:00,2
32566,1103:0,06:26:00,06:27:00,3
32597,1103:0,06:32:00,06:32:00,4
32596,1103:0,06:34:00,06:35:00,5
32595,1103:0,06:40:00,06:40:00,6
32594,1103:0,06:46:00,06:46:00,7
32592,1103:0,06:51:00,06:51:00,8
32588,1103:0,06:57:00,07:11:00,9
32562,1103:1,10:04:00,10:19:00,1
32565,1103:1,10:23:00,10:23:00,2
32566,1103:1,10:26:00,10:27:00,3
32597,1103:1,10:32:00,10:32:00,4
32596,1103:1,10:34:00,10:35:00,5
32595,1103:1,10:40:00,10:40:00,6
32594,1103:1,10:46:00,10:46:00,7
32592,1103:1,10:51:00,10:51:00,8
32588,1103:1,10:57:00,11:11:00,9
32562,1103:2,14:04:00,14:19:00,1
32565,1103:2,14:23:00,14:23:00,2
32566,1103:2,14:26:00,14:27:00,3
32597,1103:2,14:32:00,14:32:00,4
32596,1103:2,14:34:00,14:35:00,5
32595,1103:2,14:40:00,14:40:00,6
32594,1103:2,14:46:00,14:46:00,7
32592,1103:2,14:51:00,14:51:00,8
32588,1103:2,14:57:00,15:11:00,9
32562,1104:0,08:07:00,08:22:00,1
32565,1104:0,08:26:00,08:26:00,2
