stop_id,stop_name,stop_lat,stop_lon,stop_code
15573,FRANKFURT(MAIN)HBF (Germany),50.107185,8.663929,8011068
15580,F-FLUGHAFEN REGIOBF. (Germany),50.050796,8.571197,8011090
15864,DILLENBURG (Germany),50.734561,8.294302,8011578
15865,SECHSHELDEN (Germany),50.748961,8.252367,8011580
15866,HAIGER (Germany),50.741356,8.220698,8011581
15867,BURBACH(KR SIEGEN) (Germany),50.749078,8.077311,8011589
16580,AACHEN HBF (Germany),50.767668,6.091109,8015345
16582,AACHEN SUED(GR) (Germany),50.732313,6.045560,8015372
16609,KOELN HBF (Germany),50.942895,6.958667,8015458
16644,SIEGBURG/BONN (Germany),50.794150,7.202948,8015588
17164,MONTABAUR (Germany),50.444910,7.824858,8019585
17246,BETZDORF(SIEG) (Germany),50.788846,7.870164,8019772
17337,ROSENHEIM (Germany),47.621686,12.040152,8020175
19489,LIMBURG SUED (Germany),50.382498,8.096386,8032572
20100,F-FLUGHAFEN FERNBF. (Germany),50.053277,8.570235,8061676
20426,ALLENDORF(DILLKR) (Germany),50.743810,8.185416,8088423
20427,ALTENSEELBACH (Germany),50.783552,7.991132,8088424
20428,GRUENEBACH ORT (Germany),50.777340,7.902768,8088426
20429,GRUENEBACHERHUETTE (Germany),50.781844,7.891738,8088427
20430,HAIGER OBERTOR (Germany),50.740970,8.202225,8088428
20431,HERDORF (Germany),50.778590,7.953332,8088429
20432,HOLZHAUSEN(KR SIEG.) (Germany),50.739954,8.135741,8088430
20433,KOENIGSSTOLLEN (Germany),50.775947,7.933232,8088431
20434,NEUNKIRCHEN(KR SIEG) (Germany),50.784442,8.006368,8088432
20435,NIEDERDRESSELNDORF (Germany),50.721769,8.136271,8088433
20436,SASSENROTH (Germany),50.771219,7.916144,8088434
20437,STRUTHUETTEN (Germany),50.781197,7.974439,8088435
20438,WAHLBACH(KR SIEGEN) (Germany),50.758670,8.052798,8088436
20439,WUERGENDORF (Germany),50.760180,8.142375,8088437
20440,WUERGENDORF (ORT) (Germany),50.757141,8.126437,8088438
20642,ZELL AM SEE (Austria),47.320511,12.796441,8101145
20645,SAALFELDEN (Austria),47.426737,12.829584,8101148
20652,ST JOHANN IN TIROL (Austria),47.519667,12.430778,8101157
20655,KITZBUEHEL (Austria),47.453750,12.390740,8101160
20658,KIRCHBERG IN TIROL (Austria),47.448931,12.309136,8101163
20665,WOERGL HBF (Austria),47.491423,12.060476,8101170
21094,KUFSTEIN (Austria),47.583239,12.165470,8102184
21933,LUXEMBOURG (Luxembourg),49.599627,6.134356,8200100
21934,DOMMELDANGE (Luxembourg),49.633562,6.136792,8200101
21935,WALFERDANGE (Luxembourg),49.662273,6.136747,8200106
21938,MERSCH LUX (Luxembourg),49.751842,6.110103,8200110
21943,ETTELBRUCK (Luxembourg),49.847065,6.106588,8200120
21945,MICHELAU LUX (Luxembourg),49.897125,6.092151,8200128
21946,GOEBELSMUEHLE (Luxembourg),49.920596,6.054837,8200129
21947,KAUTENBACH (Luxembourg),49.949110,6.021964,8200130
21948,WILWERWILTZ (Luxembourg),49.988150,6.000596,8200132
21949,DRAUFFELT (Luxembourg),50.014830,6.006592,8200133
21950,CLERVAUX (Luxembourg),50.061412,6.024445,8200134
21952,TROISVIERGES (Luxembourg),50.119411,5.990906,8200136
21956,NOERTZANGE (Luxembourg),49.508090,6.050954,8200191
21968,BERTRANGE STRASSEN (Luxembourg),49.612922,6.060249,8200510
21969,MAMER (Luxembourg),49.625714,6.019626,8200516
21970,CAPELLEN (Luxembourg),49.638542,5.982744,8200518
21971,KLEINBETTINGEN (Luxembourg),49.643773,5.915963,8200520
21972,BERCHEM LUX (Luxembourg),49.542348,6.133897,8200601
21973,BETTEMBOURG (Luxembourg),49.516297,6.101455,8200603
21981,SCHIFFLANGE (Luxembourg),49.506230,6.010511,8200630
21982,ESCH SUR ALZETTE (Luxembourg),49.494130,5.985431,8200640
21983,HOLLERICH (Luxembourg),49.595852,6.119524,8200710
21984,LEUDELANGE (Luxembourg),49.586539,6.056752,8200712
21985,DIPPACH RECKANGE (Luxembourg),49.572534,5.996111,8200714
21986,SCHOUWEILER (Luxembourg),49.573613,5.959911,8200716
21987,BASCHARAGE SANEM (Luxembourg),49.558493,5.925024,8200718
21988,BELVAL UNIVERSITE (Luxembourg),49.499946,5.948908,8200910
21989,BELVAL LYCEE (Luxembourg),49.501339,5.937222,8200911
21990,BELVAL REDANGE (Luxembourg),49.502841,5.924179,8200912
21991,BELVAUX SOLEUVRE (Luxembourg),49.515012,5.926300,8200914
21992,OBERKORN (Luxembourg),49.508621,5.894128,8200916
21993,DIFFERDANGE (Luxembourg),49.528262,5.892186,8200920
21994,NIEDERKORN (Luxembourg),49.536451,5.894317,8200922
21995,PETANGE (Luxembourg),49.554529,5.879170,8200930
21996,LAMADELAINE (Luxembourg),49.552200,5.865408,8200935
21997,RODANGE (Luxembourg),49.550978,5.843869,8200940
21998,MAMER LYCEE (Luxembourg),49.619566,6.028553,8210014
22217,DOMODOSSOLA (Italy),46.115552,8.296666,8301003
24005,ISELLE DI TRASQUERA (Italy),46.207089,8.204572,8313644
24013,PREGLIA (Italy),46.146152,8.292711,8313705
24018,VARZO (Italy),46.206658,8.245203,8313786
24142,DORDRECHT (Netherlands),51.807486,4.667109,8400180
24166,EIJSDEN (Netherlands),50.772729,5.711323,8400219
24202,DEN HAAG HS (Netherlands),52.069567,4.319658,8400280
24288,MAASTRICHT (Netherlands),50.849290,5.705597,8400424
24289,MAASTRICHT RANDWYCK (Netherlands),50.837811,5.717850,8400426
24344,ROOSENDAAL (Netherlands),51.540201,4.456807,8400526
24346,ROTTERDAM CENTRAAL (Netherlands),51.925137,4.468897,8400530
24462,BASEL SBB (Switzerland),47.547381,7.589628,8500010
24833,ST MAURICE CH (Switzerland),46.216321,7.002237,8501403
24834,EVIONNAZ (Switzerland),46.168777,7.025492,8501404
24835,VERNAYAZ (Switzerland),46.138340,7.038563,8501405
24836,MASSONGEX (Switzerland),46.241428,6.985796,8501420
24837,MONTHEY (Switzerland),46.255568,6.955125,8501421
24889,MARTIGNY (Switzerland),46.106222,7.079005,8501500
24890,CHARRAT FULLY (Switzerland),46.127166,7.126792,8501501
24891,SAXON (Switzerland),46.150080,7.173212,8501502
24892,RIDDES (Switzerland),46.172598,7.217682,8501503
24893,CHAMOSON (Switzerland),46.189129,7.240757,8501504
24894,ARDON (Switzerland),46.209157,7.271905,8501505
24895,SION (Switzerland),46.227477,7.359316,8501506
24896,ST LEONARD (Switzerland),46.251424,7.419346,8501507
24897,SIERRE SIDERS (Switzerland),46.292181,7.532601,8501509
24898,CHATEAUNEUF CONTHEY (Switzerland),46.216007,7.305147,8501510
24908,SALGESCH (Switzerland),46.309216,7.579138,8501600
24909,LEUK (Switzerland),46.311913,7.642629,8501601
24910,TURTMANN (Switzerland),46.309072,7.699944,8501602
24911,GAMPEL STEG (Switzerland),46.306151,7.747677,8501603
24912,RARON (Switzerland),46.306492,7.801738,8501604
24913,VISP (Switzerland),46.294465,7.881256,8501605
24914,BRIG (Switzerland),46.319491,7.988075,8501609
27571,COLMAR (France),48.073052,7.346947,8718201
27573,MULHOUSE VILLE (France),47.741665,7.343333,8718206
27578,ST LOUIS (France),47.590278,7.555281,8718213
27664,THIONVILLE (France),49.354168,6.170277,8719100
27695,METZ VILLE (France),49.109167,6.177774,8719203
27796,STRASBOURG (France),48.584718,7.734445,8721202
27868,SELESTAT (France),48.259444,7.441945,8721405
28162,CROIX L'ALLUMETTE (France),50.686387,3.150557,8728105
28182,LILLE FLANDRES (France),50.635553,3.072225,8728600
28183,HELLEMMES-LILLE (France),50.622501,3.115553,8728606
28205,TOURCOING (France),50.716115,3.167223,8728654
28212,CROIX WASQUEHAL (France),50.678333,3.137496,8728671
28213,ROUBAIX (France),50.694720,3.162504,8728673
28218,PONT DE BOIS (France),50.623885,3.127500,8728683
28220,ANNAPPES (France),50.622780,3.144723,8728685
28221,ASCQ (France),50.621944,3.158890,8728686
28222,BAISIEUX (France),50.618330,3.235002,8728687
28223,LEZENNES (France),50.620559,3.100002,8728710
32295,Schaarbeek,50.878508,4.378644,8811007
32296,Evere,50.868281,4.401200,8811106
32297,Haren South,50.889567,4.415109,8811130
32298,Buda,50.908281,4.417053,8811148
32299,Haren,50.889231,4.419825,8811155
32300,Bordet,50.877782,4.409992,8811163
32301,Meiser,50.854558,4.394025,8811171
32302,Vilvoorde,50.924208,4.432583,8811189
32303,Merode,50.839881,4.399058,8811197
32304,Delta,50.819281,4.403972,8811205
32305,Diegem,50.890481,4.441931,8811213
32306,Zaventem,50.885720,4.469886,8811221
32307,Nossegem,50.883308,4.506108,8811247
32308,Kortenberg,50.893072,4.543297,8811254
32309,Erps Kwerps,50.896506,4.584997,8811262
32310,Veltem,50.900519,4.633522,8811270
32311,Herent,50.903528,4.672189,8811288
32312,Brussels Luxembourg,50.838860,4.373820,8811304
32313,Etterbeek,50.821208,4.390222,8811411
32314,Watermaal,50.809691,4.399692,8811429
32315,Bosvoorde,50.794458,4.407986,8811437
32316,Groenendaal,50.766140,4.449350,8811445
32317,Hoeilaart,50.760158,4.467406,8811460
32318,Terhulpen,50.737958,4.497064,8811510
32319,Genval,50.726408,4.513725,8811528
32320,Rixensart,50.711414,4.532861,8811536
32321,Profondsart,50.693761,4.549150,8811544
32322,Ottignies,50.671632,4.569615,8811601
32323,Limal,50.692144,4.575297,8811635
32324,Louvain-la-Neuve-Universite,50.669793,4.615745,8811676
32325,Bierges Walibi,50.707772,4.594753,8811718
32326,Waver,50.716272,4.604783,8811726
32327,Basse Wavre,50.724184,4.621178,8811734
32328,Gastuche,50.736647,4.649597,8811742
32329,Eerken,50.754337,4.662366,8811759
32330,Florival,50.761503,4.653873,8811767
32331,Pecrot,50.779208,4.651031,8811775
32332,Ceroux Mousty,50.659325,4.568547,8811817
32333,Court Saint Etienne,50.645566,4.565819,8811825
32334,Brussels Schuman,50.842851,4.380022,8811916
32335,Brussels North,50.859658,4.360854,8812005
32336,SIMONIS (Belgium),50.838952,4.311424,8812013
32337,Bockstael,50.879428,4.348507,8812021
32338,Jette,50.880910,4.328463,8812047
32339,Zellik,50.889731,4.275583,8812062
32340,Asse,50.906731,4.208422,8812070
