route_id,trip_id,service_id,trip_short_name,trip_headsign
324,1098:0,3,5689,Hoei
324,1098:1,3,5691,Hoei
324,1099:0,3,5691,Hoei
324,1100:0,3,5692,Hoei
502,1101:0,3,5755,Ciney
503,1102:0,3,5756,Libramont
502,1103:0,363,5756,Ciney
502,1103:1,363,5758,Ciney
502,1103:2,363,5760,Ciney
502,1104:0,3,5758,Ciney
502,1104:1,3,5760,Ciney
502,1104:2,3,5762,Ciney
502,1105:0,363,5758,Ciney
502,1105:1,363,5760,Ciney
502,1106:0,3,5759,Ciney
502,1106:1,3,5761,Ciney
502,1107:0,3,5760,Ciney
503,1108:0,3,5761,Libramont
503,1108:1,3,5763,Libramont
503,1109:0,3,5765,Libramont
503,1110:0,3,5766,Libramont
502,1111:0,363,5766,Ciney
503,1112:0,3,5767,Libramont
505,1113:0,3,5768,Jemelle
502,1114:0,363,5768,Ciney
503,1115:0,3,5769,Libramont
502,1116:0,363,5770,Ciney
506,1117:0,3,5771,Arlon
505,1118:0,3,5772,Jemelle
507,1119:0,3,5775,Namen
508,1120:0,3,5776,Namen
508,1120:1,3,5778,Namen
509,1121:0,3,5777,Namen
508,1122:0,363,5777,Namen
508,1122:1,363,5779,Namen
508,1122:2,363,5781,Namen
508,1122:3,363,5783,Namen
508,1122:4,363,5785,Namen
509,1123:0,3,5778,Namen
509,1124:0,3,5779,Namen
509,1125:0,3,5780,Namen
509,1126:0,3,5782,Namen
508,1127:0,3,5783,Namen
508,1127:1,3,5785,Namen
509,1128:0,3,5784,Namen
509,1129:0,3,5786,Namen
509,1130:0,3,5787,Namen
508,1131:0,363,5787,Namen
509,1132:0,3,5788,Namen
508,1133:0,363,5789,Namen
508,1133:1,363,5791,Namen
508,1134:0,3,5789,Namen
508,1134:1,3,5791,Namen
509,1135:0,3,5790,Namen
511,1136:0,489,5856,Arlon
511,1137:0,490,5856,Arlon
512,1138:0,491,66,LUXEMBOURG (Luxembourg)
513,1139:0,3,5857,Arlon
513,1140:0,3,5858,Arlon
514,1141:0,363,5858,Arlon
514,1141:1,363,5860,Arlon
513,1142:0,3,5859,Arlon
513,1143:0,3,5861,Arlon
513,1143:1,3,5863,Arlon
514,1144:0,363,5862,Arlon
514,1144:1,363,5864,Arlon
513,1145:0,3,5863,Arlon
513,1145:1,3,5865,Arlon
514,1146:0,363,5864,Arlon
513,1147:0,3,5866,Arlon
514,1148:0,363,5866,Arlon
513,1149:0,3,5868,Arlon
513,1150:0,3,5869,Arlon
514,1151:0,363,5870,Arlon
513,1152:0,3,5871,Arlon
515,1153:0,363,5872,Jemelle
516,1154:0,3,5876,Libramont
516,1154:1,3,5878,Libramont
517,1155:0,363,5877,Ciney
517,1155:1,363,5879,Ciney
517,1155:2,363,5881,Ciney
517,1155:3,363,5883,Ciney
517,1155:4,363,5885,Ciney
517,1155:5,363,5887,Ciney
516,1156:0,3,5878,Libramont
516,1157:0,3,5880,Libramont
516,1158:0,3,5882,Libramont
516,1158:1,3,5884,Libramont
516,1159:0,3,5886,Libramont
516,1160:0,3,5887,Libramont
26434,116181:0,13700,6950,Houyet
516,1161:0,490,5888,Libramont
517,1162:0,363,5889,Ciney
517,1163:0,363,5891,Ciney
518,1164:0,3,5892,Jemelle
516,1165:0,490,5899,Libramont
121,1166:0,491,68,LUXEMBOURG (Luxembourg)
121,1166:1,491,70,LUXEMBOURG (Luxembourg)
121,1167:0,491,70,LUXEMBOURG (Luxembourg)
121,1168:0,491,72,LUXEMBOURG (Luxembourg)
121,1168:1,491,74,LUXEMBOURG (Luxembourg)
521,1169:0,3,5954,Arlon
522,1170:0,3,5955,Bertrix
523,1171:0,3,5956,Arlon
524,1172:0,363,5957,Virton
524,1172:1,363,5959,Virton
524,1172:2,363,5961,Virton
524,1172:3,363,5963,Virton
524,1172:4,363,5965,Virton
524,1172:5,363,5967,Virton
524,1172:6,363,5969,Virton
513,1173:0,3,5957,Arlon
513,1173:1,3,5959,Arlon
513,1173:2,3,5961,Arlon
513,1173:3,3,5963,Arlon
513,1174:0,3,5965,Arlon
513,1175:0,3,5966,Arlon
513,1175:1,3,5968,Arlon
513,1176:0,3,5969,Arlon
524,1177:0,0,5971,Virton
522,1178:0,3,5972,Bertrix
526,1179:0,3,5975,Libramont
527,1180:0,0,5977,Libramont
516,1181:0,3,5978,Libramont
527,1182:0,363,5979,Libramont
527,1182:1,363,5981,Libramont
527,1182:2,363,5983,Libramont
527,1182:3,363,5985,Libramont
516,1183:0,3,5979,Libramont
527,1184:0,363,5981,Libramont
527,1184:1,363,5983,Libramont
516,1185:0,3,5981,Libramont
516,1185:1,3,5983,Libramont
516,1185:2,3,5985,Libramont
516,1186:0,3,5987,Libramont
527,1187:0,363,5989,Libramont
516,1188:0,3,5989,Libramont
516,1188:1,3,5991,Libramont
516,1189:0,3,5992,Libramont
526,1190:0,0,6054,Libramont
529,1191:0,0,6056,Libramont
529,1192:0,0,6058,Libramont
529,1192:1,0,6060,Libramont
529,1192:2,0,6062,Libramont
529,1193:0,0,6064,Libramont
529,1194:0,0,6066,Libramont
529,1195:0,0,6068,Libramont
530,1196:0,0,6070,Bertrix
530,1197:0,3,6071,Bertrix
531,1198:0,0,6076,Dinant
532,1199:0,492,6078,Dinant
532,1200:0,493,6078,Dinant
532,1201:0,0,6080,Dinant
532,1202:0,0,6082,Dinant
532,1202:1,0,6084,Dinant
532,1202:2,0,6086,Dinant
532,1203:0,0,6084,Dinant
532,1204:0,0,6088,Dinant
531,1205:0,3,6091,Dinant
522,1206:0,0,6092,Bertrix
533,1207:0,363,6156,Namen
533,1207:1,363,6158,Namen
533,1207:2,363,6160,Namen
533,1208:0,363,6158,Namen
533,1208:1,363,6160,Namen
533,1208:2,363,6162,Namen
534,1209:0,363,6178,Charleroi South
534,1209:1,363,6180,Charleroi South
114,1210:0,363,6180,Ottignies
114,1210:1,363,6182,Ottignies
534,1211:0,363,6186,Charleroi South
114,1212:0,363,6188,Ottignies
114,1212:1,363,6190,Ottignies
110,1213:0,3,6254,Namen
537,1214:0,3,6255,Namen
537,1215:0,3,6256,Namen
110,1216:0,363,6256,Namen
110,1216:1,363,6258,Namen
110,1216:2,363,6260,Namen
110,1216:3,363,6262,Namen
110,1216:4,363,6264,Namen
110,1216:5,363,6266,Namen
110,1216:6,363,6268,Namen
110,1216:7,363,6270,Namen
537,1217:0,3,6257,Namen
537,1218:0,3,6258,Namen
537,1218:1,3,6260,Namen
537,1218:2,3,6262,Namen
537,1218:3,3,6264,Namen
537,1218:4,3,6266,Namen
537,1219:0,3,6263,Namen
537,1219:1,3,6265,Namen
537,1220:0,3,6265,Namen
537,1221:0,368,6266,Namen
537,1222:0,4,6266,Namen
537,1223:0,3,6267,Namen
537,1224:0,3,6268,Namen
537,1225:0,3,6269,Namen
537,1225:1,3,6271,Namen
537,1226:0,3,6270,Namen
537,1227:0,3,6272,Namen
538,1228:0,3,6275,Ottignies
114,1229:0,368,6276,Ottignies
114,1230:0,4,6276,Ottignies
540,1231:0,368,6277,Louvain-la-Neuve-Universite
540,1232:0,4,6277,Louvain-la-Neuve-Universite
540,1233:0,3,6278,Louvain-la-Neuve-Universite
114,1234:0,363,6278,Ottignies
114,1234:1,363,6280,Ottignies
114,1234:2,363,6282,Ottignies
114,1234:3,363,6284,Ottignies
114,1234:4,363,6286,Ottignies
540,1235:0,3,6279,Louvain-la-Neuve-Universite
540,1236:0,3,6280,Louvain-la-Neuve-Universite
540,1237:0,3,6281,Louvain-la-Neuve-Universite
540,1237:1,3,6283,Louvain-la-Neuve-Universite
540,1238:0,3,6282,Louvain-la-Neuve-Universite
540,1238:1,3,6284,Louvain-la-Neuve-Universite
540,1238:2,3,6286,Louvain-la-Neuve-Universite
540,1238:3,3,6288,Louvain-la-Neuve-Universite
540,1239:0,3,6286,Louvain-la-Neuve-Universite
114,1240:0,363,6288,Ottignies
540,1241:0,3,6288,Louvain-la-Neuve-Universite
540,1242:0,3,6290,Louvain-la-Neuve-Universite
114,1243:0,363,6290,Ottignies
541,1244:0,3,6291,Gembloux
114,1245:0,363,6292,Ottignies
540,1246:0,3,6292,Louvain-la-Neuve-Universite
540,1247:0,3,6293,Louvain-la-Neuve-Universite
542,1248:0,3,6355,Antwerp Central
543,1249:0,3,6356,Antwerp Central
543,1249:1,3,6358,Antwerp Central
543,1250:0,3,6357,Antwerp Central
543,1251:0,3,6359,Antwerp Central
542,1252:0,3,6360,Antwerp Central
542,1252:1,3,6362,Antwerp Central
542,1252:2,3,6364,Antwerp Central
542,1252:3,3,6366,Antwerp Central
542,1252:4,3,6368,Antwerp Central
542,1252:5,3,6370,Antwerp Central
543,1253:0,3,6366,Antwerp Central
543,1253:1,3,6368,Antwerp Central
543,1253:2,3,6370,Antwerp Central
543,1254:0,3,6369,Antwerp Central
543,1254:1,3,6371,Antwerp Central
542,1255:0,3,6371,Antwerp Central
542,1255:1,3,6373,Antwerp Central
546,1256:0,3,6376,Nijvel
546,1257:0,3,6377,Nijvel
546,1257:1,3,6379,Nijvel
548,1258:0,3,6379,Brussels South
548,1258:1,3,6381,Brussels South
548,1258:2,3,6383,Brussels South
548,1258:3,3,6385,Brussels South
548,1258:4,3,6387,Brussels South
548,1258:5,3,6389,Brussels South
546,1259:0,3,6385,Nijvel
546,1259:1,3,6387,Nijvel
546,1260:0,3,6386,Nijvel
546,1261:0,3,6388,Nijvel
546,1262:0,3,6389,Nijvel
548,1263:0,3,6390,Brussels South
548,1263:1,3,6392,Brussels South
548,1264:0,3,6391,Brussels South
548,1264:1,3,6393,Brussels South
548,1265:0,3,6394,Brussels South
550,1266:0,494,6407,Bastogne North
550,1267:0,495,6407,Bastogne North
550,1268:0,269,6407,Bastogne North
550,1269:0,421,6408,Bastogne North
550,1269:1,421,6410,Bastogne North
550,1270:0,3,6409,Bastogne North
550,1270:1,3,6411,Bastogne North
550,1271:0,3,6410,Bastogne North
550,1271:1,3,6412,Bastogne North
550,1272:0,363,6410,Bastogne North
550,1272:1,363,6412,Bastogne North
550,1273:0,3,6413,Bastogne North
550,1273:1,3,6415,Bastogne North
550,1274:0,3,6414,Bastogne North
550,1274:1,3,6416,Bastogne North
550,1275:0,494,6416,Bastogne North
550,1276:0,363,6419,Bastogne North
550,1276:1,363,6421,Bastogne North
550,1277:0,3,6419,Bastogne North
551,1278:0,3,6426,Libramont
551,1279:0,269,6426,Libramont
551,1280:0,3,6427,Libramont
551,1280:1,3,6429,Libramont
551,1280:2,3,6431,Libramont
551,1281:0,495,6428,Libramont
551,1281:1,495,6430,Libramont
551,1282:0,494,6428,Libramont
551,1283:0,269,6428,Libramont
551,1284:0,421,6428,Libramont
551,1285:0,363,6430,Libramont
551,1285:1,363,6432,Libramont
551,1286:0,0,6432,Libramont
551,1287:0,3,6435,Libramont
551,1288:0,3,6436,Libramont
551,1289:0,3,6437,Libramont
551,1290:0,421,6437,Libramont
551,1291:0,363,6439,Libramont
36217,129287:0,323,13422,Brussels South
36218,129288:0,2102,13423,ZELL AM SEE (Austria)
2561,130925:0,579,6718,Schaarbeek
2327,130926:0,699,6719,Tongeren
36710,130927:0,699,6817,Ghent Sint Pieters
26430,130928:0,579,6817,Hasselt
36712,130929:0,699,6818,Genk
36713,130930:0,579,6818,Brussels North
810,130931:0,14627,6819,Schaarbeek
36713,130932:0,579,6819,Brussels North
810,130933:0,906,6819,Schaarbeek
1209,130934:0,14627,6830,Ostend
1209,130935:0,906,6830,Ostend
2087,130936:0,699,6831,Ostend
26429,130937:0,579,6831,Ostend
36718,130938:0,699,6832,Ostend
1208,130939:0,579,6832,Ostend
22132,137756:0,0,5029,Liege Guillemins
22132,137756:1,0,5031,Liege Guillemins
22132,137756:2,0,5033,Liege Guillemins
22132,137756:3,0,5035,Liege Guillemins
22132,137756:4,0,5037,Liege Guillemins
22132,137756:5,0,5039,Liege Guillemins
302,150792:0,160,5390,Liege Guillemins
302,150792:1,160,5392,Liege Guillemins
302,150792:2,160,5394,Liege Guillemins
302,150792:3,160,5396,Liege Guillemins
22132,152823:0,38,5043,Liege Guillemins
22132,153314:0,38,5041,Liege Guillemins
1128,153832:0,610,11405,Dinant
1128,153832:1,610,11407,Dinant
1128,153832:2,610,11409,Dinant
1128,153832:3,610,11411,Dinant
1128,153832:4,610,11413,Dinant
1128,153832:5,610,11415,Dinant
1128,153832:6,610,11417,Dinant
1128,153832:7,610,11419,Dinant
1128,153832:8,610,11421,Dinant
1124,153833:0,610,11427,Namen
1124,153833:1,610,11429,Namen
1124,153833:2,610,11431,Namen
1124,153833:3,610,11433,Namen
1124,153833:4,610,11435,Namen
1124,153833:5,610,11437,Namen
1124,153833:6,610,11439,Namen
1124,153833:7,610,11441,Namen
1124,153833:8,610,11443,Namen
1124,153833:9,610,11445,Namen
46704,168438:0,0,3560,MONTHEY (Switzerland)
551,1788:0,3,6440,Libramont
551,1789:0,363,6441,Libramont
551,1790:0,3,6441,Libramont
785,1791:0,3,6455,Ottignies
785,1791:1,3,6457,Ottignies
785,1791:2,3,6459,Ottignies
786,1792:0,363,6456,Louvain-la-Neuve-Universite
786,1792:1,363,6458,Louvain-la-Neuve-Universite
786,1792:2,363,6460,Louvain-la-Neuve-Universite
786,1792:3,363,6462,Louvain-la-Neuve-Universite
786,1792:4,363,6464,Louvain-la-Neuve-Universite
786,1792:5,363,6466,Louvain-la-Neuve-Universite
786,1792:6,363,6468,Louvain-la-Neuve-Universite
785,1793:0,3,6458,Ottignies
785,1794:0,3,6459,Ottignies
